Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Personenfahrzeug","Quad","4x4","mobility","passenger-vehicle","quad","quad-4x4","quad","mobility-passenger-vehicle-quad-quad-4x4"
"Mobilität","Nutzfahrzeug","Anhänger","A","mobility","commercial-vehicle","trailer","a","trailer","mobility-commercial-vehicle-trailer-a"
"Mobilität","Nutzfahrzeug","Kasten","A","mobility","commercial-vehicle","box","boxvan","boxvan","mobility-commercial-vehicle-box-boxvan"
"Verträge","Darlehen","Immobilie","Abrufdarlehen","contract","loan","realestate","call-loan","contract-loan-credit-creditcontract","contract-loan-realestate-call-loan"
"Immobilien","mit Bebauung","Bewirtschaftung","Ackerland","realestate","with-development","farmland","farmland","farmland","realestate-with-development-farmland-farmland"
"Verträge","Darlehen","Immobilie","Annuitätendarlehen","contract","loan","realestate","annuity-loan","contract-loan-realestate-annuityloan","contract-loan-realestate-annuity-loan"
"Finanzkonten","Systeme","Bezahlsysteme","Apple Pay","financeaccount","systems","payment-systems","apple-pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-apple-pay"
"Verträge","Arbeitsvertrag","Angestellter","Aufhebungsvertrag","contract","employment-contract","employee","termination-agreement","contract-employment-employee-terminationAgreement","contract-employment-contract-employee-termination-agreement"
"Verträge","Arbeitsvertrag","Beamter","Aufhebungsvertrag","contract","employment-contract","official","termination-agreement","contract-employment-employee-terminationAgreement","contract-employment-contract-official-termination-agreement"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aufhebungsvertrag","contract","employment-contract","public-service","termination-agreement","contract-employment-employee-terminationAgreement","contract-employment-contract-public-service-termination-agreement"
"Verträge","Dienstleistung","Wartung","Aufzug","contract","service","maintenance","elevator","contract-service-maintenance-maintenancecontract","contract-service-maintenance-elevator"
"Verträge","Arbeitsvertrag","Beamter","Aushilfe","contract","employment-contract","official","help","employment-contract","contract-employment-contract-official-help"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aushilfe","contract","employment-contract","public-service","help","employment-contract","contract-employment-contract-public-service-help"
"Verträge","Arbeitsvertrag","Angestellter","Aushilfe","contract","employment-contract","employee","help","employment-contract","contract-employment-contract-employee-help"
"Verträge","Versicherung","Kranken","Ausland","contract","insurance","health","abroad","contract-insurance-inthealth-inthealthcontract","contract-insurance-health-abroad"
"Verträge","Versicherung","Kranken","Auslandsreise","contract","insurance","health","foreign-travel","contract-insurance-travel-travelcontract","contract-insurance-health-foreign-travel"
"Verträge","Mietvertrag","KFZ","Auto","contract","rental-contract","car","car","contract-lease-lease-leasecontract","contract-rental-contract-car-car"
"Verträge","Leasing","KFZ","Auto","contract","leasing","car","car","leasing","contract-leasing-car-car"
"Verträge","Kaufvertrag","KFZ","Auto","contract","purchase-contract","car","car","contract-sale-sale-salecontract","contract-purchase-contract-car-car"
"Verträge","Kredit","KFZ","Auto","contract","credit","car","car","contract-loan-credit-creditcontract","contract-credit-car-car"
"Verträge","Medien","Mobilfunk","Autotelefon","contract","media","cellular","car-phone","contract-media-media-mediacontract","contract-media-cellular-car-phone"
