Kategorie,Art,Unterkategorie,Sparte,AktuellerFormName,KorrekterFormName,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey
"Mobilität","Personenfahrzeug","Quad","4x4","quad","mobility-passenger-vehicle-quad-quad-4x4","mobility","passenger-vehicle","quad","quad-4x4"
"Mobilität","Nutzfahrzeug","Anhänger","A","trailer","mobility-commercial-vehicle-trailer-a","mobility","commercial-vehicle","trailer","a"
"Mobilität","Nutzfahrzeug","Kasten","A","boxvan","mobility-commercial-vehicle-box-boxvan","mobility","commercial-vehicle","box","boxvan"
"Verträge","Darlehen","Immobilie","Abrufdarlehen","contract-loan-credit-creditcontract","contract-loan-realestate-call-loan","contract","loan","realestate","call-loan"
"Immobilien","mit Bebauung","Bewirtschaftung","Ackerland","farmland","realestate-with-development-farmland-farmland","realestate","with-development","farmland","farmland"
"Verträge","Darlehen","Immobilie","Annuitätendarlehen","contract-loan-realestate-annuityloan","contract-loan-realestate-annuity-loan","contract","loan","realestate","annuity-loan"
"Finanzkonten","Systeme","Bezahlsysteme","Apple Pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment-systems-apple-pay","financeaccount","systems","payment-systems","apple-pay"
"Verträge","Arbeitsvertrag","Angestellter","Aufhebungsvertrag","contract-employment-employee-terminationAgreement","contract-employment-contract-employee-termination-agreement","contract","employment-contract","employee","termination-agreement"
"Verträge","Arbeitsvertrag","Beamter","Aufhebungsvertrag","contract-employment-employee-terminationAgreement","contract-employment-contract-official-termination-agreement","contract","employment-contract","official","termination-agreement"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aufhebungsvertrag","contract-employment-employee-terminationAgreement","contract-employment-contract-public-service-termination-agreement","contract","employment-contract","public-service","termination-agreement"
"Verträge","Dienstleistung","Wartung","Aufzug","contract-service-maintenance-maintenancecontract","contract-service-maintenance-elevator","contract","service","maintenance","elevator"
"Verträge","Arbeitsvertrag","Beamter","Aushilfe","employment-contract","contract-employment-contract-official-help","contract","employment-contract","official","help"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aushilfe","employment-contract","contract-employment-contract-public-service-help","contract","employment-contract","public-service","help"
"Verträge","Arbeitsvertrag","Angestellter","Aushilfe","employment-contract","contract-employment-contract-employee-help","contract","employment-contract","employee","help"
