Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Personenfahrzeug","Quad","4x4","mobility","passengervehicle","quad","quad4x4","mobility-passengervehicle-quad-quad4x4","mobility-passengervehicle-quad-quad4x4"
"Mobilität","Nutzfahrzeug","Kasten","A","mobility","commercialvehicle","box","boxvan","mobility-commercialvehicle-box-boxvan","mobility-commercialvehicle-box-boxvan"
"Mobilität","Nutzfahrzeug","Anhänger","A","mobility","commercialvehicle","trailer","a","mobility-commercialvehicle-trailer-a","mobility-commercialvehicle-trailer-a"
"Verträge","Darlehen","Immobilie","Abrufdarlehen","contract","loan","realestate","callloan","contract-loan-realestate-callloan","contract-loan-realestate-callloan"
"Immobilien","mit Bebauung","Bewirtschaftung","Ackerland","realestate","withdevelopment","farmland","farmland","realestate-withdevelopment-farmland-farmland","realestate-withdevelopment-farmland-farmland"
"Verträge","Darlehen","Immobilie","Annuitätendarlehen","contract","loan","realestate","annuityloan","contract-loan-realestate-annuityloan","contract-loan-realestate-annuityloan"
"Finanzkonten","Systeme","Bezahlsysteme","Apple Pay","financeaccount","systems","paymentsystems","applepay","financeaccount-systems-paymentsystems-applepay","financeaccount-systems-paymentsystems-applepay"
"Verträge","Arbeitsvertrag","Angestellter","Aufhebungsvertrag","contract","employmentcontract","employee","terminationagreement","contract-employmentcontract-publicservice-terminationagreement","contract-employmentcontract-employee-terminationagreement"
"Verträge","Arbeitsvertrag","Beamter","Aufhebungsvertrag","contract","employmentcontract","official","terminationagreement","contract-employmentcontract-publicservice-terminationagreement","contract-employmentcontract-official-terminationagreement"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aufhebungsvertrag","contract","employmentcontract","publicservice","terminationagreement","contract-employmentcontract-publicservice-terminationagreement","contract-employmentcontract-publicservice-terminationagreement"
"Verträge","Dienstleistung","Wartung","Aufzug","contract","service","maintenance","elevator","contract-service-maintenance-elevator","contract-service-maintenance-elevator"
"Verträge","Arbeitsvertrag","Angestellter","Aushilfe","contract","employmentcontract","employee","help","contract-employmentcontract-official-help","contract-employmentcontract-employee-help"
"Verträge","Arbeitsvertrag","Beamter","Aushilfe","contract","employmentcontract","official","help","contract-employmentcontract-official-help","contract-employmentcontract-official-help"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aushilfe","contract","employmentcontract","publicservice","help","contract-employmentcontract-official-help","contract-employmentcontract-publicservice-help"
"Verträge","Versicherung","Kranken","Ausland","contract","insurance","health","abroad","contract-insurance-health-abroad","contract-insurance-health-abroad"
"Verträge","Versicherung","Kranken","Auslandsreise","contract","insurance","health","foreigntravel","contract-insurance-health-foreigntravel","contract-insurance-health-foreigntravel"
"Verträge","Leasing","KFZ","Auto","contract","leasing","car","car","contract-leasing-car-car","contract-leasing-car-car"
"Verträge","Kaufvertrag","KFZ","Auto","contract","purchasecontract","car","car","contract-purchasecontract-car-car","contract-purchasecontract-car-car"
"Verträge","Kredit","KFZ","Auto","contract","credit","car","car","contract-loan-realestate-callloan","contract-credit-car-car"
"Verträge","Mietvertrag","KFZ","Auto","contract","rentalcontract","car","car","contract-rentalcontract-car-car","contract-rentalcontract-car-car"
"Verträge","Medien","Mobilfunk","Autotelefon","contract","media","cellular","carphone","contract-media-cellular-carphone","contract-media-cellular-carphone"
"Mobilität","Nutzfahrzeug","Anhänger","B","mobility","commercialvehicle","trailer","b","mobility-commercialvehicle-trailer-a","mobility-commercialvehicle-trailer-b"
"Mobilität","Nutzfahrzeug","Kasten","B","mobility","commercialvehicle","box","boxvan","mobility-commercialvehicle-box-boxvan","mobility-commercialvehicle-box-boxvan"
"Mobilität","Landwirtschaft","Traktor","B","mobility","agriculture","tractor","tractor","mobility-agriculture-tractor-tractor","mobility-agriculture-tractor-tractor"
"Verträge","Darlehen","Förderung","Bafög","contract","loan","support","studentloans","contract-loan-realestate-callloan","contract-loan-support-studentloans"
"Verträge","Versicherung","Sach","Bauherrenhaftpflicht","contract","insurance","object","buildersliability","contract-insurance-object-buildersliability","contract-insurance-object-buildersliability"
"Immobilien","ohne Bebauung","Grund","Bebauungsgrundstück","realestate","withoutdevelopment","ground","buildingplot","realestate-withoutdevelopment-ground-buildingplot","realestate-withoutdevelopment-ground-buildingplot"
"Verträge","Versicherung","Leben","Berufsunfähigkeit","contract","insurance","life","disabilityinsurance","contract-insurance-life-disabilityinsurance","contract-insurance-life-disabilityinsurance"
"Mobilität","Nutzfahrzeug","Kasten","C","mobility","commercialvehicle","box","boxvan","mobility-commercialvehicle-box-boxvan","mobility-commercialvehicle-box-boxvan"
"Mobilität","Landwirtschaft","Traktor","C","mobility","agriculture","tractor","tractor","mobility-agriculture-tractor-tractor","mobility-agriculture-tractor-tractor"
"Mobilität","Nutzfahrzeug","Anhänger","C","mobility","commercialvehicle","trailer","c","mobility-commercialvehicle-trailer-a","mobility-commercialvehicle-trailer-c"
"Mobilität","Personenfahrzeug","Quad","C","mobility","passengervehicle","quad","quadc","mobility-passengervehicle-quad-quad4x4","mobility-passengervehicle-quad-quadc"
"Mobilität","Personenfahrzeug","Auto","Cabrio","mobility","passengervehicle","car","convertible","mobility-passengervehicle-car-convertible","mobility-passengervehicle-car-convertible"
"Immobilien","mit Bebauung","Parkfläche","Carport","realestate","withdevelopment","parkingspace","carport","realestate-withdevelopment-parkingspace-carport","realestate-withdevelopment-parkingspace-carport"
"Finanzkonten","Kredit","Kreditkarte","Charge","financeaccount","credit","creditcard","charge","financeaccount-credit-creditcard-charge","financeaccount-credit-creditcard-charge"
"Mobilität","Personenfahrzeug","Motorrad","Chopper","mobility","passengervehicle","motorcycle","chopper","mobility-passengervehicle-motorcycle-chopper","mobility-passengervehicle-motorcycle-chopper"
"Mobilität","Fahrrad","E-Bike","City","mobility","bike","ebike","ecity","mobility-bike-ebike-ecity","mobility-bike-ebike-ecity"
